Harvest_plot_ID,Species,Dry_weight_g,Ecological_class,Weight,Synthetic_score
S1P01,Stipagrostis uniplumis,134.29,3,5,671.45
S1P01,Tribulus terrestris,0.11,5,1,0.11
S1P01,Melinis repens,1.16,5,1,1.16
S1P02,Stipagrostis uniplumis,136.44,3,5,682.2
S1P02,Tribulus terrestris,7.03,5,1,7.03
S1P03,Stipagrostis uniplumis,196.08,3,5,980.4
S1P04,Stipagrostis uniplumis,197.41,3,5,987.05
S1P04,Tribulus terrestris,2.63,5,1,2.63
S1P05,Stipagrostis uniplumis,53.92,3,5,269.6
S1P06,Schmidtia kalihariensis,0.72,5,1,0.72
S1P06,Stipagrostis uniplumis,60.52,3,5,302.6
S1P06,Tribulus terrestris,0.37,5,1,0.37
S1P07,Schmidtia kalihariensis,1.31,5,1,1.31
S1P07,Stipagrostis uniplumis,40.01,3,5,200.05
S1P08,Schmidtia kalihariensis,4.17,5,1,4.17
S1P08,Tribulus terrestris,0.51,5,1,0.51
S1P08,Milky stuff,0.04,5,1,0.04
S1P09,Schmidtia kalihariensis,0.15,5,1,0.15
S1P09,Stipagrostis uniplumis,11.88,3,5,59.4
S1P09,Tribulus terrestris,1.91,5,1,1.91
S1P09,Senna Italia,0.43,5,1,0.43
S1P10,Schmidtia kalihariensis,5.85,5,1,5.85
S1P10,Tribulus terrestris,2.58,5,1,2.58
S1P11,Schmidtia kalihariensis,12.57,5,1,12.57
S1P11,Senna Italia,0.46,5,1,0.46
S1P12,Schmidtia kalihariensis,19.02,5,1,19.02
S1P12,Stipagrostis uniplumis,0.05,3,5,0.25
S1P12,Tribulus terrestris,4.78,5,1,4.78
S1P13,Schmidtia kalihariensis,21.52,5,1,21.52
S1P13,Tribulus terrestris,2.72,5,1,2.72
S1P14,Schmidtia kalihariensis,12.88,5,1,12.88
S1P14,Tribulus terrestris,1.47,5,1,1.47
S1P15,Schmidtia kalihariensis,5.1,5,1,5.1
S1P15,Tribulus terrestris,0.22,5,1,0.22
S1P15,Gesikia,0.46,5,1,0.46
S1P16,Schmidtia kalihariensis,6.21,5,1,6.21
S1P16,Stipagrostis uniplumis,0.04,3,5,0.2
S1P16,Tribulus terrestris,1.23,5,1,1.23
S1P16,Melinis repens,3.28,5,1,3.28
S1P17,Schmidtia kalihariensis,9.68,5,1,9.68
S1P17,Tribulus terrestris,14.39,5,1,14.39
S1P18,Schmidtia kalihariensis,11.74,5,1,11.74
S1P18,Stipagrostis uniplumis,5.23,3,5,26.15
S1P18,Wild sesame,0.5,5,1,0.5
S1P19,Schmidtia kalihariensis,0.66,5,1,0.66
S1P19,Stipagrostis uniplumis,2.73,3,5,13.65
S1P19,Tribulus terrestris,13.03,5,1,13.03
S1P20,Tribulus terrestris,11.5,5,1,11.5
S1P20,Milky stuff,0.43,5,1,0.43
S1P21,Stipagrostis uniplumis,0.98,3,5,4.9
S1P21,Tribulus terrestris,8.4,5,1,8.4
S1P21,Gesikia,2.05,5,1,2.05
S1P22,Schmidtia kalihariensis,0.78,5,1,0.78
S1P22,Tribulus terrestris,34.09,5,1,34.09
S1P23,Schmidtia kalihariensis,1.41,5,1,1.41
S1P23,Tribulus terrestris,17.52,5,1,17.52
S1P24,Schmidtia kalihariensis,0.66,5,1,0.66
S1P24,Tribulus terrestris,15.53,5,1,15.53
S1P24,Melinis repens,3.52,5,1,3.52
S1P25,Schmidtia kalihariensis,1.98,5,1,1.98
S1P25,Stipagrostis uniplumis,5.35,3,5,26.75
S1P25,Tribulus terrestris,17.52,5,1,17.52
S1P25,Aristida stipitata,0.96,5,1,0.96
S1P26,Schmidtia kalihariensis,3.81,5,1,3.81
S1P26,Stipagrostis uniplumis,8.35,3,5,41.75
S1P26,Tribulus terrestris,31.88,5,1,31.88
S1P27,Schmidtia kalihariensis,0.54,5,1,0.54
S1P27,Tribulus terrestris,24.31,5,1,24.31
S1P28,Schmidtia kalihariensis,2.26,5,1,2.26
S1P28,Stipagrostis uniplumis,3.39,3,5,16.95
S1P28,Tribulus terrestris,60.88,5,1,60.88
S1P29,Stipagrostis uniplumis,22.28,3,5,111.4
S1P29,Tribulus terrestris,1.28,5,1,1.28
S1P29,Melinis repens,1.34,5,1,1.34
S1P29,Hairy grey purple,0.12,5,1,0.12
S1P30,Stipagrostis uniplumis,37.98,3,5,189.9
S1P30,Tribulus terrestris,6.99,5,1,6.99
S2P01,Schmidtia kalihariensis,25.25,5,1,25.25
S2P01,Beans,0.22,5,1,0.22
S2P02,Schmidtia kalihariensis,15.36,5,1,15.36
S2P02,Tribulus terrestris,2.94,5,1,2.94
S2P03,Schmidtia kalihariensis,20.52,5,1,20.52
S2P04,Schmidtia kalihariensis,4.44,5,1,4.44
S2P04,Stipagrostis uniplumis,289.65,3,5,1448.25
S2P04,Beans,0.05,5,1,0.05
S2P05,Schmidtia kalihariensis,4.22,5,1,4.22
S2P05,Stipagrostis uniplumis,177.55,3,5,887.75
S2P05,Gesikia,0.18,5,1,0.18
S2P05,Beans,0.38,5,1,0.38
S2P06,Schmidtia kalihariensis,9.72,5,1,9.72
S2P06,Stipagrostis uniplumis,154.14,3,5,770.7
S2P06,Tribulus terrestris,0.42,5,1,0.42
S2P06,Beans,0.52,5,1,0.52
S2P06,White satan,1.01,5,1,1.01
S2P07,Schmidtia kalihariensis,16.69,5,1,16.69
S2P07,Stipagrostis uniplumis,1.12,3,5,5.6
S2P07,Tribulus terrestris,2.42,5,1,2.42
S2P07,Beans,0.18,5,1,0.18
S2P08,Schmidtia kalihariensis,10.81,5,1,10.81
S2P08,Tribulus terrestris,49.58,5,1,49.58
S2P09,Schmidtia kalihariensis,8.72,5,1,8.72
S2P09,Tribulus terrestris,38.18,5,1,38.18
S2P10,Schmidtia kalihariensis,6.16,5,1,6.16
S2P10,Tribulus terrestris,34.81,5,1,34.81
S2P10,Beans,1.9,5,1,1.9
S2P11,Schmidtia kalihariensis,17.52,5,1,17.52
S2P11,Stipagrostis uniplumis,70.8,3,5,354
S2P11,Tribulus terrestris,0.17,5,1,0.17
S2P11,Beans,0.18,5,1,0.18
S2P12,Tribulus terrestris,56.13,5,1,56.13
S2P12,Beans,0.1,5,1,0.1
S2P13,Schmidtia kalihariensis,5.2,5,1,5.2
S2P13,Tribulus terrestris,33.02,5,1,33.02
S2P13,Beans,1.26,5,1,1.26
S2P13,White satan,2.45,5,1,2.45
S2P14,Schmidtia kalihariensis,25.25,5,1,25.25
S2P14,Tribulus terrestris,1.59,5,1,1.59
S2P14,Beans,0.72,5,1,0.72
S2P15,Stipagrostis uniplumis,1.22,3,5,6.1
S2P15,Tribulus terrestris,27.51,5,1,27.51
S2P16,Schmidtia kalihariensis,6.96,5,1,6.96
S2P16,Stipagrostis uniplumis,0.99,3,5,4.95
S2P16,Tribulus terrestris,33.06,5,1,33.06
S2P16,Forb,2.48,5,1,2.48
S2P17,Schmidtia kalihariensis,18.54,5,1,18.54
S2P17,Stipagrostis uniplumis,0.3,3,5,1.5
S2P17,Tribulus terrestris,1.02,5,1,1.02
S2P17,Beans,1.69,5,1,1.69
S2P17,White satan,0.62,5,1,0.62
S2P18,Schmidtia kalihariensis,6.36,5,1,6.36
S2P18,Stipagrostis uniplumis,34.48,3,5,172.4
S2P18,Beans,1,5,1,1
S2P19,Schmidtia kalihariensis,23.13,5,1,23.13
S2P19,Beans,0.53,5,1,0.53
S2P20,Stipagrostis uniplumis,250.63,3,5,1253.15
S2P21,Schmidtia kalihariensis,3.37,5,1,3.37
S2P21,Stipagrostis uniplumis,157.52,3,5,787.6
S2P21,Tribulus terrestris,2.18,5,1,2.18
S2P22,Schmidtia kalihariensis,32.46,5,1,32.46
S2P22,Tribulus terrestris,7.92,5,1,7.92
S2P23,Schmidtia kalihariensis,3.58,5,1,3.58
S2P23,Tribulus terrestris,28.57,5,1,28.57
S2P23,Beans,2.47,5,1,2.47
S2P23,Forb,1.25,5,1,1.25
S2P24,Schmidtia kalihariensis,7.52,5,1,7.52
S2P24,Tribulus terrestris,23.99,5,1,23.99
S2P25,Schmidtia kalihariensis,12.87,5,1,12.87
S2P25,Beans,0.68,5,1,0.68
S2P26,Schmidtia kalihariensis,4.18,5,1,4.18
S2P26,Tribulus terrestris,36.52,5,1,36.52
S2P27,Schmidtia kalihariensis,3.73,5,1,3.73
S2P27,Stipagrostis uniplumis,81.51,3,5,407.55
S2P27,Tribulus terrestris,1.94,5,1,1.94
S2P28,Schmidtia kalihariensis,8.44,5,1,8.44
S2P28,Stipagrostis uniplumis,32.46,3,5,162.3
S2P29,Schmidtia kalihariensis,27.52,5,1,27.52
S2P29,Tribulus terrestris,1.84,5,1,1.84
S2P30,Schmidtia kalihariensis,8.55,5,1,8.55
S2P30,Stipagrostis uniplumis,96.26,3,5,481.3
S2P30,Tribulus terrestris,1.26,5,1,1.26
S2P30,Beans,1.1,5,1,1.1
S2P30,Forb,1.41,5,1,1.41
S2P30,Forb 2,1.01,5,1,1.01
S3P01,Stipagrostis uniplumis,39.25,3,5,196.25
S3P01,Schmidtia pappophoroides,32.92,2,7,230.44
S3P02,Stipagrostis uniplumis,74.5,3,5,372.5
S3P02,Schmidtia pappophoroides,6.98,2,7,48.86
S3P03,Tall Bushman,93.29,2,7,653.03
S3P04,Tall Bushman,8.64,2,7,60.48
S3P04,Stipagrostis uniplumis,13.51,3,5,67.55
S3P05,Stipagrostis uniplumis,34.37,3,5,171.85
S3P05,Eragrostis pallens,56.67,5,1,56.67
S3P06,Stipagrostis uniplumis,45.04,3,5,225.2
S3P07,Tall Bushman,113.07,2,7,791.49
S3P08,Stipagrostis uniplumis,78.87,3,5,394.35
S3P09,Stipagrostis uniplumis,37.86,3,5,189.3
S3P10,Tall Bushman,137.52,2,7,962.64
S3P10,Stipagrostis uniplumis,11.72,3,5,58.6
S3P11,Stipagrostis uniplumis,15.26,3,5,76.3
S3P11,Schmidtia pappophoroides,73.72,2,7,516.04
S3P12,Eragrostis pallens,135.94,5,1,135.94
S3P13,Tall Bushman,143.49,2,7,1004.43
S3P13,Stipagrostis uniplumis,44.97,3,5,224.85
S3P14,Stipagrostis uniplumis,229.93,3,5,1149.65
S3P15,Stipagrostis uniplumis,189.88,3,5,949.4
S3P16,Stipagrostis uniplumis,137.53,3,5,687.65
S3P17,Tall Bushman,59.16,2,7,414.12
