Harvest_plot_ID,Species,Dry_weight_g,Ecological_class,Weight,grazing_value,Mean_Canopy_Height(m),NDVI,EVI,OSAVI,TDVI,GDVI
S1P01,Stipagrostis uniplumis,134.29,3,5,672.72,0.028510537,0.170108318,23.090662,0.170107782,0.405651659,7041.539063
S1P02,Stipagrostis uniplumis,136.44,3,5,689.23,0.076653913,0.158000991,0.392541021,0.158000529,0.39187631,6166.419922
S1P03,Stipagrostis uniplumis,196.08,3,5,980.4,0.227522999,0.236526817,-12.28619862,0.236526012,0.561833203,8078.633789
S1P04,Stipagrostis uniplumis,197.41,3,5,989.68,0.011802096,0.120746292,1.682397008,0.120745957,0.293607444,5777.160645
S1P05,Stipagrostis uniplumis,53.92,3,5,269.6,0.015348673,0.088041537,-1.83968854,0.088041276,0.195293814,3153.64917
S1P06,Stipagrostis uniplumis,60.52,3,5,303.69,0.023312557,0.153376803,-0.335988402,0.153376371,0.366645515,8175.794434
S1P07,Stipagrostis uniplumis,40.01,3,5,201.36,0.032123733,0.102254383,-0.323000252,0.102254093,0.260022014,4758.279297
S1P08,Schmidtia kalihariensis,4.17,5,1,4.72,0.014475203,0.076238744,-0.099403828,0.076238587,0.186920151,3612.335938
S1P09,Stipagrostis uniplumis,11.88,3,5,61.89,0.017575976,0.050126877,-0.258733749,0.050126765,0.114543863,2523.314209
S1P10,Schmidtia kalihariensis,5.85,5,1,8.43,0.006226124,0.166906729,Inf,0.166906312,0.401154041,8066.233398
S1P11,Schmidtia kalihariensis,12.57,5,1,13.03,0.022262262,0.092189714,0.320600241,0.092189498,0.235414356,4084.532227
S1P12,Schmidtia kalihariensis,19.02,5,1,24.05,0.016518086,0.142415315,-1.497083902,0.142414972,0.341150731,5600.679199
S1P13,Schmidtia kalihariensis,21.52,5,1,24.24,0.030143375,0.057538383,-0.323389113,0.057538215,0.12539579,474.6618347
S1P14,Schmidtia kalihariensis,12.88,5,1,14.35,0.01170921,0.149997994,0.308560699,0.149997622,0.359397084,6804.765625
S1P15,Schmidtia kalihariensis,5.1,5,1,5.78,0.013383801,0.094813898,-0.583968997,0.094813675,0.237901062,4666.318848
S1P16,Schmidtia kalihariensis,6.21,5,1,10.92,0.01403219,0.073917203,-0.21622318,0.073917024,0.177713454,3394.437988
S1P17,Tribulus terrestris,14.39,5,1,24.07,0.033066627,0.203833997,0.701786339,0.203833416,0.470971078,9272.885742
S1P18,Stipagrostis uniplumis,5.23,3,5,38.39,0.002918704,0.138661578,0.108514808,0.138661191,0.329723984,5904.698242
S1P19,Stipagrostis uniplumis,2.73,3,5,27.34,0.010863661,0.14804697,10.98473167,0.148046583,0.355953962,7300.808105
