AOI,Plot_ID,Species,Grazing value,total_AGB (g),AGB,Mean_Canopy_Height(m),B1,B2,B3,B4,B5,NDVI,EVI,OSAVI,TDVI,GDVI,grazing_value
1,S1P01,S.uniplumis,Average,135.56,396.374269,0.028510537,25166.64648,25287.8418,23405.70313,30978.17578,32329.38281,0.170108318,23.090662,0.170107782,0.405651659,7041.539063,672.72
1,S1P02,S.uniplumis,Average,143.47,419.502924,0.076653913,24750.2793,26089.66016,23547.44336,29627.50781,32256.07813,0.158000991,0.392541021,0.158000529,0.39187631,6166.419922,689.23
1,S1P03,S.uniplumis,Average,196.08,573.3333333,0.227522999,21071.04492,22685.48828,19291.98047,27666.47852,30764.12305,0.236526817,-12.28619862,0.236526012,0.561833203,8078.633789,980.4
1,S1P04,S.uniplumis,Average,200.04,584.9122807,0.011802096,30904.87695,31146.10156,29660.03906,35802.31641,36923.26172,0.120746292,1.682397008,0.120745957,0.293607444,5777.160645,989.68
1,S1P05,S.uniplumis,Average,53.92,157.6608187,0.015348673,32534.80664,31583.01758,29677.95508,32777.89844,34736.66797,0.088041537,-1.83968854,0.088041276,0.195293814,3153.64917,269.6
1,S1P06,S.uniplumis,Average,61.61,180.1461988,0.023312557,28934.68945,29932.08984,28908.51172,36686.46094,38107.88281,0.153376803,-0.335988402,0.153376371,0.366645515,8175.794434,303.69
1,S1P07,S.uniplumis,Average,41.32,120.8187135,0.032123733,32540.21484,31877.51367,30746.59766,34350.90234,36635.79297,0.102254383,-0.323000252,0.102254093,0.260022014,4758.279297,201.36
1,S1P08,S.kalihariensis,Low,4.72,13.80116959,0.014475203,43519.53125,43447.45313,41068.85938,45057.04297,47059.78906,0.076238744,-0.099403828,0.076238587,0.186920151,3612.335938,4.72
1,S1P09,S.uniplumis,Average,14.37,42.01754386,0.017575976,40671.67969,40423.98047,39291.78125,42055.12109,42947.29688,0.050126877,-0.258733749,0.050126765,0.114543863,2523.314209,61.89
1,S1P10,S.kalihariensis,Low,8.43,24.64912281,0.006226124,30340.35352,30453.49805,27909.28711,35303.82031,38519.73047,0.166906729,Inf,0.166906312,0.401154041,8066.233398,8.43
1,S1P11,S.kalihariensis,Low,13.03,38.0994152,0.022262262,35185.37109,35666.39844,33490.09766,37647.41016,39750.92969,0.092189714,0.320600241,0.092189498,0.235414356,4084.532227,13.03
1,S1P12,S.kalihariensis,Low,23.85,69.73684211,0.016518086,34573.00391,35342.76563,31233.0957,37999.08594,40943.44531,0.142415315,-1.497083902,0.142414972,0.341150731,5600.679199,24.05
1,S1P13,S.kalihariensis,Low,24.24,70.87719298,0.030143375,38302.80859,37225.57813,34482.45313,35672.83203,37700.23828,0.057538383,-0.323389113,0.057538215,0.12539579,474.6618347,24.24
1,S1P14,S.kalihariensis,Low,14.35,41.95906433,0.01170921,31204,32595.75586,29587.01953,36925.69922,39400.52344,0.149997994,0.308560699,0.149997622,0.359397084,6804.765625,14.35
1,S1P15,S.kalihariensis,Low,5.78,16.9005848,0.013383801,36088.76563,36418.45313,34408.18359,39179.36328,41084.77344,0.094813898,-0.583968997,0.094813675,0.237901062,4666.318848,5.78
1,S1P16,S.kalihariensis,Low,10.76,31.4619883,0.01403219,35666.09375,35988.78125,34461.44922,36710.55078,39383.21875,0.073917203,-0.21622318,0.073917024,0.177713454,3394.437988,10.92
1,S1P17,T.terrestris,Low,24.07,70.38011696,0.033066627,26039.85352,26898.92383,24385.11719,32483.83203,36171.80859,0.203833997,0.701786339,0.203833416,0.470971078,9272.885742,24.07
1,S1P18,S.kalihariensis,Low,17.47,51.08187135,0.002918704,28134.08008,28446.36523,26224.6543,31339.54297,34351.0625,0.138661578,0.108514808,0.138661191,0.329723984,5904.698242,38.39
1,S1P19,T.terrestris,Low,16.42,48.01169591,0.010863661,31577.31641,32565.62305,30469.79297,37200.75391,39866.43359,0.14804697,10.98473167,0.148046583,0.355953962,7300.808105,27.34
1,S1P20,T.terrestris,Low,11.93,34.88304094,0.011065424,30429.79883,30995.94727,28270.03516,37316.74219,40662.11719,0.192275509,-11.08432198,0.192275017,0.435940355,9666.166016,11.93
1,S1P21,T.terrestris,Low,11.43,33.42105263,0.005599708,38739.05469,37928.94141,36714.94141,39345.8125,40685.55859,0.055269174,-0.477443248,0.055269051,0.136231601,2756.614746,15.35
1,S1P22,T.terrestris,Low,34.87,101.9590643,0.005545678,28240.45313,29083.23828,28119.78516,33992.07422,36822.14063,0.13567856,-1.268562555,0.135678217,0.341237873,7738.902344,34.87
1,S1P23,T.terrestris,Low,18.93,55.35087719,0.005345363,32009.03125,32457.15625,31974.22266,35777.85156,38352.28516,0.093530014,0.224004015,0.093529798,0.245856568,5895.126953,18.93
1,S1P24,T.terrestris,Low,19.71,57.63157895,0.011526893,29909.91406,29671.08398,27135.15625,33582.19531,36110.04297,0.143219769,-0.166488171,0.143219396,0.322749346,6438.959961,19.71
1,S1P25,T.terrestris,Low,25.81,75.46783626,0.046475358,32782.51172,35156.31641,31332.53711,42383.21484,43794.46875,0.178001553,0.182843819,0.178001136,0.40906018,8638.150391,47.21
1,S1P26,T.terrestris,Low,44.04,128.7719298,0.024595976,28622.22852,30146.39844,25245.64258,37376.16016,39962.26172,0.235090226,-6.107622147,0.235089615,0.542590618,9815.865234,77.44
1,S1P27,T.terrestris,Low,24.85,72.66081871,0.016770435,27899.14258,26798.37695,25882.87891,29593.83398,32270.35742,0.113626547,0.202170804,0.113626212,0.271946669,5471.979004,24.85
1,S1P28,T.terrestris,Low,66.53,194.5321637,0.041990221,20819.55664,22565.12305,20212.82227,32863.6875,37253.05859,0.29951489,3.040246964,0.299514025,0.654640853,14687.93457,80.09
1,S1P29,S.uniplumis,Average,25.02,73.15789474,0.006548752,27907.27344,28193.18359,26333.03516,31685.24805,33834.46484,0.141156256,2.176799536,0.141155794,0.34785217,5641.28125,114.14
