"Harvest_plot_ID","synthetic_grazing_value_sum"
"S1P01",1967.017543792
"S1P02",2015.29239756
"S1P03",2866.6666665
"S1P04",2893.80116948
"S1P05",788.3040935
"S1P06",887.982456003
"S1P07",588.771929857
"S1P08",13.801169594
"S1P09",180.964912305
"S1P10",24.649122809
"S1P11",38.0994152
"S1P12",70.32163743
"S1P13",70.877192984
"S1P14",41.959064324
"S1P15",16.900584794
"S1P16",31.929824563
"S1P17",70.38011696
"S1P18",112.251461984
"S1P19",79.941520461
"S1P20",34.883040932
"S1P21",44.883040937
"S1P22",101.959064324
"S1P23",55.350877198
"S1P24",57.631578951
"S1P25",138.040935658
"S1P26",226.43274855
"S1P27",72.660818718
"S1P28",234.181286545
"S1P29",333.742690056
"S1P30",575.70175449
"S2P01",74.473684214
"S2P02",53.508771928
"S2P03",60
"S2P04",4247.77777797
"S2P05",2609.73684219
"S2P06",2287.631579015
"S2P07",72.777777776
"S2P08",176.57894733
"S2P09",137.13450292
"S2P10",125.350877166
"S2P11",1087.339181492
"S2P12",164.415204661
"S2P13",122.602339176
"S2P14",80.584795325
"S2P15",98.2748538
"S2P16",138.742690058
"S2P17",68.333333335
"S2P18",525.614035338
"S2P19",69.181286552
"S2P20",3664.1812865
"S2P21",2319.152046676
"S2P22",118.07017544
"S2P23",104.883040942
"S2P24",92.13450292
"S2P25",39.619883044
"S2P26",119.00584792
"S2P27",1208.24561387
"S2P28",499.23976607
"S2P29",85.847953219
"S2P30",1446.286549687
"S3P01",1247.63157908
"S3P02",1232.04678361
"S3P03",1909.4444446
"S3P04",374.35672513
"S3P05",668.1871344
"S3P06",658.479532
"S3P07",2314.2982457
"S3P08",1153.0701755
"S3P09",553.508772
"S3P10",2986.08187165
"S3P11",1731.9883044
"S3P12",397.4853801
"S3P13",3594.385965
"S3P14",3361.5497075
"S3P15",2776.023392
"S3P16",2010.6725145
"S3P17",1951.6666662
"S3P18",70.2339181
"S3P19",334.44444446
"S3P20",2694.3859649
"S3P21",2814.766082
"S3P22",1361.2865496
"S3P23",1154.5321635
"S3P24",2448.9766084
"S3P25",1465.05847971
"S3P26",1927.7192984
"S3P27",480.584795335
"S3P28",2052.5146201
"S3P29",276.49122805
"S3P30",3257.1052628
