Plot,Easting(m),Northing(m),Altitude,RtkStdLon,RtkStdLat,RtkStdHgt,mean.B1_Blue,mean.B2_Green,mean.B3_Red,mean.B4_RedEdge,mean.B5_NIR,Mean_NDVI,Mean_EVI,Mean_OSAVI,Mean_TDVI,Mean_GDVI,Mean_TCARI,Mean_MCARI,Mean_NDRE,Mean_GCI
S3P01,520753.4115,7349970.441,1171.859,0.01257,0.01106,0.02366,26370.1875,24663.326171875,21979.888671875,25626.291015625,27074.2734375,0.1193157508969307,0.7663453817367554,0.11931527405977249,0.3052787780761719,2410.94677734375,14989.7177734375,6522.865234375,0.03135726600885391,0.14816045761108398
S3P02,520757.0541,7349979.749,1171.868,0.01306,0.0129,0.0243,31176.32421875,29157.15234375,24741.060546875,29174.21875,30484.31640625,0.12215830385684967,-0.08258430659770966,0.12215783447027206,0.28736212849617004,1327.1646728515625,16786.234375,9255.916015625,0.024526681751012802,0.09454309195280075
S3P03,520769.0664,7349939.418,1171.699,0.01449,0.01376,0.02841,24014.9921875,21237.69921875,19296.837890625,19703.638671875,20545.083984375,0.036050762981176376,0.35516002774238586,0.03605058416724205,0.0761752650141716,-692.614013671875,3573.473388671875,2236.322998046875,0.019345909357070923,0.006217973306775093
S3P04,520763.833,7349969.052,1171.59,0.0119,0.01173,0.02393,40505.3515625,37808.359375,35319.42578125,36051.56640625,36904.08203125,0.024026567116379738,-0.0594942644238472,0.024026503786444664,0.05171326920390129,-904.277587890625,4506.392578125,2519.3173828125,0.012211133725941181,-4.992051399312913e-4
S3P05,520771.244,7349977.634,1171.447,0.01151,0.01483,0.02331,24972.9375,22583.998046875,17356.2890625,24055.16796875,28186.0625,0.23329231142997742,-0.6230443716049194,0.23329144716262817,0.5433232188224792,5602.0615234375,31409.75,18439.703125,0.07711628824472427,0.2718478739261627
S3P06,520759.0652,7349980.883,1171.839,0.01361,0.01241,0.02359,30390.6328125,27306.51171875,24947.921875,26063.818359375,25209.400390625,0.009783879853785038,-0.069240666925907135,0.00978382769972086,0.020816167816519737,-2097.1142578125,726.842529296875,935.520751953125,-0.015214065089821815,-0.060403820127248764
S3P07,520774.2106,7349975.391,1171.49,0.01161,0.01137,0.02282,24351.99609375,24772.978515625,19546.05078125,27085.7890625,29800.63671875,0.21121595799922943,-0.8443266749382019,0.21121521294116974,0.5036872625350952,5027.65625,29909.927734375,16314.3974609375,0.04804833233356476,0.23371003568172455
S3P08,520736.371,7349981.108,1171.932,0.01243,0.0126,0.02712,28080.603515625,25032.01171875,22249.603515625,26159.3125,27716.513671875,0.1216980516910553,5.067526817321777,0.12169758230447769,0.29470929503440857,2684.50244140625,15905.369140625,7841.19140625,0.03117389604449272,0.16288559138774872
S3P09,520760.7265,7349935.811,1171.792,0.01311,0.01106,0.02375,31444.767578125,29813.6953125,27056.384765625,30943.990234375,32999.76953125,0.11171834915876389,-0.5849729180335999,0.11171798408031464,0.2872399389743805,3186.072998046875,17491.443359375,7433.96044921875,0.03459997475147247,0.14464350044727325
S3P10,520768.5888,7349978.505,1171.559,0.0128,0.01181,0.02369,23129.44140625,22560.615234375,21435.568359375,23673.181640625,24490.6875,0.06672848761081696,0.17827577888965607,0.06672824174165726,0.17686901986598969,1930.072021484375,8995.20703125,3531.95751953125,0.017385033890604973,0.10401342064142227
S3P11,520748.6144,7349965.528,1171.963,0.0134,0.01188,0.02526,26873.369140625,25346.291015625,21992.310546875,27215.06640625,28836.60546875,0.14527103304862976,-1.2430074214935303,0.1452704817056656,0.36061596870422363,3490.313232421875,20023.94140625,9500.6904296875,0.03222185745835304,0.18052861094474792
S3P12,520770.8864,7349978.698,1171.474,0.01288,0.01369,0.02489,22750.166015625,20277.130859375,16724.62890625,21564.73046875,24456.51953125,0.18752314150333405,-0.8566626310348511,0.18752233684062958,0.4379501938819885,4179.38671875,22330.20703125,12407,0.0664115846157074,0.2591080963611603
S3P13,520759.2916,7349939.744,1171.898,0.01402,0.01203,0.02499,22364.021484375,20294.853515625,18298.505859375,19847.208984375,20664.46484375,0.0701756551861763,-0.6412263512611389,0.07017528265714645,0.18296317756175995,369.61187744140625,7005.1298828125,3084.429443359375,0.025328485295176506,0.03777049854397774
S3P14,520734.6014,7349959.087,1172.046,0.01287,0.01105,0.0255,16959.607421875,17593.265625,13350.3583984375,25391.154296875,31080.095703125,0.4177706241607666,-0.4437466859817505,0.4177689850330353,0.8652392625808716,13486.8291015625,49622.48828125,41440.3984375,0.10428369790315628,0.870477557182312
S3P15,520774.9769,7349938.226,1171.638,0.01275,0.0111,0.02462,17511.3359375,15948.92578125,13258.7177734375,17126.587890625,18872.318359375,0.20887845754623413,0.0792088732123375,0.2088771015405655,0.46998271346092224,2923.3935546875,16117.3046875,10580.5732421875,0.052510619163513184,0.29573115706443787
S3P16,520747.7294,7349974.77,1171.941,0.01503,0.01253,0.02734,22888.8671875,22967.14453125,19698.09765625,28696.7578125,31482.498046875,0.2471560835838318,-2.8745338916778564,0.24715518951416016,0.5741603970527649,8515.353515625,33913.50390625,18691.169921875,0.05077015608549118,0.41790443658828735
S3P17,520763.0324,7349972.691,1171.632,0.012,0.01075,0.02277,26920.287109375,24357.080078125,21647.36328125,22900.849609375,23624.171875,0.05227756127715111,0.08017215132713318,0.0522773340344429,0.11097127944231033,-732.9073486328125,5594.28564453125,3545.622314453125,0.017628852277994156,0.021860437467694283
S3P18,520781.2863,7349974.412,1171.551,0.01219,0.01375,0.02539,43228.6953125,41853.51953125,40305.078125,41452.40625,41437.03515625,0.015993934124708176,-0.20827716588974,0.01599389687180519,0.04164762794971466,-416.4829406738281,3315.745849609375,1605.0908203125,8.096132078208029e-4,1.9744968449231237e-4
S3P19,520756.598,7349978.811,1171.893,0.01339,0.01212,0.02532,41249.20703125,36876.0390625,33990.046875,34390.86328125,32369.4609375,-0.02046647109091282,0.08278921991586685,-0.020466431975364685,-0.07738782465457916,-4506.5771484375,-5042.36474609375,-218.67236328125,-0.02792862057685852,-0.11219020932912827
S3P20,520759.753,7349979.551,1171.754,0.01088,0.01101,0.0218,28614.81640625,26350.142578125,22977.794921875,26208.19921875,26396.263671875,0.07922039180994034,0.870703399181366,0.07922007143497467,0.2107906937599182,46.12041091918945,10176.3291015625,4385.85693359375,0.006471642758697271,0.02574489638209343
S3P21,520761.9298,7349956.679,1171.692,0.01378,0.01284,0.02827,30934.740234375,26155.57421875,23307.302734375,23293.240234375,24056.947265625,0.01983783207833767,-0.06222320720553398,0.019837740808725357,0.03885975852608681,-2098.628662109375,2128.654541015625,1777.8221435546875,0.016504181548953056,-0.061699699610471725
S3P22,520757.5405,7349942.502,1171.82,0.01489,0.0119,0.02528,28949.453125,27237.96484375,24193.330078125,27645.046875,29276.076171875,0.1048235297203064,-1.875052571296692,0.10482316464185715,0.2618834376335144,2038.1090087890625,14932.8681640625,6894.6923828125,0.03241407126188278,0.10987609624862671
S3P23,520755.7613,7349949.689,1171.832,0.01306,0.01337,0.025,31750.736328125,30872.802734375,26575.53515625,32952.796875,35569.0078125,0.16296260058879852,0.1632450520992279,0.16296209394931793,0.39258894324302673,4696.20458984375,26235.0234375,13385.7802734375,0.03868865221738815,0.21188253164291382
S3P24,520751.4629,7349965.339,1171.803,0.01211,0.01088,0.02342,37523.8984375,36550.34765625,34340.68359375,33304.390625,35350.4609375,0.017704349011182785,0.28004035353660583,0.017704281955957413,0.03490371257066727,-1199.8878173828125,2854.904541015625,1824.213134765625,0.035226818174123764,-0.020030992105603218
S3P25,520769.772,7349962.295,1171.452,0.01618,0.01481,0.03079,27690.7265625,24940.880859375,22432.81640625,24455.798828125,26559.40625,0.09043027460575104,-0.9899956583976746,0.09042993187904358,0.21822082996368408,1618.5245361328125,12024.91015625,5800.04052734375,0.04368138313293457,0.10718456655740738
S3P26,520765.2097,7349979.048,1171.652,0.01127,0.01114,0.02237,34623.76171875,31719.896484375,29662.203125,30295.732421875,30147.5234375,0.011823737993836403,0.5632576942443848,0.011823689565062523,0.02275862731039524,-1572.372314453125,1390.078857421875,1138.8092041015625,-0.0019876444712281227,-0.03701513260602951
S3P27,520773.535,7349931.776,1171.633,0.01439,0.01326,0.02696,34664.70703125,34023.21875,32505.208984375,34641.25390625,35207.49609375,0.04725471884012222,-0.19212469458580017,0.04725457355380058,0.1275043487548828,1184.2803955078125,7993.91064453125,3062.406005859375,0.010535704903304577,0.05728377401828766
S3P28,520775.9024,7349970.344,1171.685,0.0137,0.01334,0.02718,22023.482421875,21445.22265625,17762.169921875,21464.8828125,24352.916015625,0.15895897150039673,-1.300595998764038,0.1589582860469818,0.37754595279693604,2907.693603515625,19192.046875,10293.2646484375,0.0652206763625145,0.18665117025375366
S3P29,520773.9095,7349944.495,1171.707,0.01346,0.01462,0.02722,23887.189453125,21089.78125,18001.478515625,20994.626953125,23052.4609375,0.12499900907278061,-3.1276137828826904,0.12499844282865524,0.3164893686771393,1962.6781005859375,14837.79296875,7019.4931640625,0.04904805123806,0.11575713008642197
S3P30,520755.1252,7349962.957,1171.756,0.01274,0.01055,0.02287,31632.513671875,28187.689453125,25371.6796875,25848.982421875,26769.541015625,0.030767343938350677,-0.5738772749900818,0.030767221003770828,0.08526741713285446,-1418.146728515625,4163.50830078125,1902.88818359375,0.017884042114019394,-0.03423520177602768
