Plot,Easting(m),Northing(m),Altitude,RtkStdLon,RtkStdLat,RtkStdHgt,mean.B1_Blue,mean.B2_Green,mean.B3_Red,mean.B4_RedEdge,mean.B5_NIR,Mean_NDVI,Mean_EVI,Mean_OSAVI,Mean_TDVI,Mean_GDVI,Mean_TCARI,Mean_MCARI,Mean_NDRE,Mean_GCI
S2P01,522436.7471,7339129.677,1162.106,0.01304,0.01067,0.02843,26408.5234375,27928.708984375,22999.3359375,34103.88671875,36599.15625,0.24498187005519867,-0.5393775701522827,0.24498113989830017,0.5393134951591492,8670.4462890625,38887.984375,27967.99609375,0.036241091787815094,0.3737393915653229
S2P02,522437.5043,7339139.237,1162.406,0.01333,0.01085,0.0277,33836.19140625,34944.4765625,30569.1484375,39355.703125,39048.4765625,0.1418469250202179,-0.4052301049232483,0.14184655249118805,0.3243318796157837,4104.0048828125,24484.083984375,14508.775390625,-0.0021768882870674133,0.1788908690214157
S2P03,522447.4235,7339123.559,1161.767,0.01165,0.01178,0.02762,29238.216796875,30348.759765625,26184.466796875,36470.29296875,38781.5,0.2071957141160965,-8.32528018951416,0.20719516277313232,0.47306907176971436,8432.73828125,36123.1015625,21975.7578125,0.03167383000254631,0.3403547406196594
S2P04,522459.8384,7339132.999,1162.041,0.01415,0.01176,0.02685,23708.423828125,24638.76171875,22411.984375,31028.015625,33110.11328125,0.2196829915046692,-0.5119644403457642,0.2196822315454483,0.5138373970985413,8471.349609375,30715.318359375,16262.3388671875,0.03872569650411606,0.4434501826763153
S2P05,522477.6889,7339147.379,1162.254,0.01233,0.01128,0.02539,25363.67578125,26621.73828125,23089.583984375,31604.62109375,35710.953125,0.22734425961971283,15.032976150512695,0.2273436039686203,0.5339592099189758,9089.21484375,36316.95703125,19483.404296875,0.06311216205358505,0.3948187530040741
S2P06,522472.4167,7339124.144,1162.283,0.01168,0.01133,0.02408,22813.90234375,22070.830078125,21067.759765625,25150.5546875,27042.8125,0.13544918596744537,-0.46375417709350586,0.13544869422912598,0.33375757932662964,4971.98193359375,17280.25,7877.66162109375,0.03796512261033058,0.2800612449645996
S2P07,522452.5768,7339123.498,1161.795,0.01256,0.01285,0.03017,28423.80859375,29037.86328125,25423.23046875,33823.64453125,34402.3671875,0.15984870493412018,-2.463151693344116,0.15984822809696198,0.3730747699737549,5364.5029296875,25929.921875,14785.8994140625,0.009880880825221539,0.22923943400382996
S2P08,522436.2139,7339115.749,1161.758,0.0154,0.01217,0.02618,17801.333984375,20140.12109375,16965.74609375,32230.19140625,35199.546875,0.3421732783317566,9.032855033874512,0.34217217564582825,0.7239068150520325,15059.4248046875,50784.84375,42245.74609375,0.043284427374601364,0.8575343489646912
S2P09,522440.263,7339120.811,1161.772,0.01781,0.01329,0.03115,21160.1328125,22182.912109375,18078.908203125,29364.556640625,31833.748046875,0.2677991986274719,0.4841116666793823,0.2677983045578003,0.5885730981826782,9650.837890625,38934.2265625,28515.1875,0.03998016193509102,0.5237224698066711
S2P10,522461.6082,7339108.94,1161.65,0.01296,0.0119,0.02549,25094.33984375,21803.228515625,21756.15234375,35404.21484375,38823.359375,0.307452917098999,-1.3922398090362549,0.307451993227005,0.6390089392662048,17020.1328125,47094.2109375,38843.79296875,0.04699307680130005,0.9831198453903198
S2P11,522453.7781,7339138.129,1162.04,0.01313,0.01189,0.02691,27354.591796875,26692.4921875,23259.09375,29564.67578125,30918.673828125,0.14765053987503052,-1.5751590728759766,0.1476500779390335,0.3576531410217285,4226.18212890625,22299.556640625,11634.9267578125,0.023207303136587143,0.19191592931747437
S2P12,522461.7726,7339125.614,1161.959,0.01382,0.01215,0.02719,19184.583984375,18186.5078125,16659.705078125,30406.94921875,32669.6875,0.32665932178497314,0.24407123029232025,0.3266582190990448,0.7029141187667847,14483.1787109375,44667.4609375,33051.79296875,0.03670642897486687,0.8746518492698669
S2P13,522465.6958,7339124.268,1161.982,0.01418,0.01167,0.02711,22401.525390625,21783.400390625,18955.091796875,34978.47265625,37451.3515625,0.33693602681159973,-0.22574321925640106,0.33693501353263855,0.7095744013786316,15667.9501953125,51552.734375,40981.69140625,0.034870147705078125,0.8446996808052063
S2P14,522479.5897,7339143.895,1162.182,0.0129,0.01323,0.02969,26717.1328125,27783.947265625,22579.98046875,34232.05859375,36705.6015625,0.2527664005756378,-1.3462443351745605,0.2527656853199005,0.5628644227981567,8921.6552734375,40437.76953125,27465.978515625,0.035172395408153534,0.3966970145702362
S2P15,522442.2581,7339141.171,1162.213,0.01332,0.01306,0.02477,29333.689453125,29115.94140625,25791.505859375,34915.1640625,34973.77734375,0.15778286755084991,-1.1940395832061768,0.1577824354171753,0.3659229874610901,5857.833984375,26332.91796875,15203.34765625,0.001679064822383225,0.27863356471061707
S2P16,522436.8121,7339145.819,1162.487,0.01335,0.01148,0.02679,25719.640625,27815.1953125,23931.41796875,35792.625,36930.17578125,0.23382574319839478,0.5085937976837158,0.23382504284381866,0.49699506163597107,9114.9833984375,36715.55078125,29053.158203125,0.017727168276906013,0.45526325702667236
S2P17,522470.0052,7339124.153,1162.174,0.01411,0.01149,0.03085,25739.1484375,25932.99609375,23542.896484375,34064.21875,36238.92578125,0.2296406477689743,-0.4596027135848999,0.22963997721672058,0.5221527218818665,10305.9306640625,36200.28125,21729.76953125,0.032629773020744324,0.4757411777973175
S2P18,522468.0425,7339145.761,1162.125,0.01169,0.01114,0.02506,35383.41796875,35495.25,33590.2890625,38563.52734375,37619.98828125,0.06891637295484543,-0.05937952175736427,0.0689161866903305,0.16325439512729645,2124.73681640625,11660.5107421875,6153.23876953125,-0.009485200978815556,0.10038721561431885
S2P19,522478.6738,7339148.506,1162.256,0.01288,0.0122,0.02822,26946.634765625,27090.0234375,22434.458984375,31154.291015625,33337.01953125,0.2097204625606537,-0.73030853271484375,0.20971979200839996,0.4643805921077728,6246.99609375,31264.853515625,20456.697265625,0.034625206142663956,0.28766441345214844
S2P20,522445.9256,7339155.053,1162.427,0.01374,0.01193,0.0274,24530.451171875,22246.46875,18820.904296875,22714.37109375,24655.5703125,0.15435554087162018,-0.6964186429977417,0.15435488522052765,0.35140693187713623,2409.10302734375,16781.833984375,9952.064453125,0.0418899767100811,0.17406077682971954
S2P21,522445.7589,7339149.862,1162.382,0.01333,0.01199,0.0273,35013.82421875,31442.14453125,28262.072265625,29444.8046875,29245.66015625,0.023625822737812996,-0.11445975303649902,0.023625729605555534,0.046053964644670486,-2196.485107421875,2755.80126953125,2378.156005859375,-0.0016120675718411803,-0.046871185302734375
S2P22,522451.2122,7339121.409,1161.755,0.01335,0.01304,0.03205,25186.79296875,27164.591796875,23097.4296875,33606.2890625,35871.48046875,0.24617111682891846,-39.69353485107422,0.24617034196853638,0.5234886407852173,8706.8876953125,36128.53125,27050.646484375,0.03515304997563362,0.4482710063457489
S2P23,522474.5996,7339129.436,1162.252,0.01201,0.01129,0.024140000000000002,23289.22265625,24185.93359375,21703.169921875,35650.359375,36961.80078125,0.25862690806388855,-22.64729118347168,0.25862616300582886,0.5697785019874573,12775.8642578125,42967.76953125,29288.677734375,0.018791578710079193,0.6365123987197876
S2P24,522470.9819,7339142.091,1162.2,0.01244,0.01124,0.02417,23681.353515625,23855.814453125,20768.87890625,28773.095703125,28763.35546875,0.15888431668281555,-0.4884567856788635,0.15888378024101257,0.3682001531124115,4907.54052734375,22970.02734375,13168.3779296875,0.0013552020536735654,0.2690587639808655
S2P25,522465.6292,7339123.324,1161.989,0.01286,0.01126,0.02707,33734.11328125,28183.09765625,29636.396484375,34107.84765625,33406.2734375,0.08054570108652115,-0.4224694073200226,0.08054542541503906,0.16121229529380798,5223.17529296875,10576.791015625,7391.90087890625,-0.009668394923210144,0.22887258231639862
S2P26,522475.1313,7339137.191,1162.382,0.01164,0.01175,0.02433,24934.1328125,25272.849609375,23355.58203125,32214.15625,32265.201171875,0.16297978162765503,-9.26906967163086,0.16297927498817444,0.3740246891975403,6992.3525390625,25372.91015625,14718.5791015625,0.0016962663503363729,0.36348140239715576
S2P27,522466.4233,7339127.219,1162.077,0.01238,0.01298,0.02612,27862.669921875,23429.595703125,23727.0703125,29126.8046875,29561.138671875,0.12235314399003983,-0.9788793325424194,0.1223527118563652,0.28396397829055786,6131.54443359375,16647.86328125,8543.5419921875,0.010105245746672153,0.32383906841278076
S2P28,522461.3854,7339134.116,1162.083,0.01303,0.01181,0.02636,25820.736328125,26540.90234375,22914.69921875,31429.19140625,32803.89453125,0.19050510227680206,-0.4772650897502899,0.19050449132919312,0.44280141592025757,6262.9921875,28493.20703125,16769.66796875,0.02286502532660961,0.2922893166542053
S2P29,522433.4846,7339132.826,1162.269,0.01392,0.01183,0.03074,31322.69140625,31397.73046875,26782.736328125,35559.359375,36774.9296875,0.17381811141967773,-0.2594006359577179,0.17381761968135834,0.3901344835758209,5377.19775390625,28669.4921875,18220.923828125,0.017685549333691597,0.23697325587272644
S2P30,522455.6251,7339143.822,1162.106,0.01222,0.01166,0.02544,25604.478515625,23939.302734375,21769.826171875,24437.19140625,24847.9375,0.07037074863910675,-0.40967991948127747,0.07037048041820526,0.17757843434810638,908.634033203125,9036.125,4192.87451171875,0.010326853021979332,0.06114916503429413
