,"(mm) Precipitation (CHIRPS) at zutshwa, 2023-09-01 to 2024-04-30"
"2023-09-01",0
"2023-09-02",0
"2023-09-03",0
"2023-09-04",0
"2023-09-05",0
"2023-09-06",0
"2023-09-07",0
"2023-09-08",0
"2023-09-09",0
"2023-09-10",0
"2023-09-11",0
"2023-09-12",0
"2023-09-13",0
"2023-09-14",0
"2023-09-15",0
"2023-09-16",0
"2023-09-17",0
"2023-09-18",0
"2023-09-19",0
"2023-09-20",0
"2023-09-21",0
"2023-09-22",0
"2023-09-23",0
"2023-09-24",0
"2023-09-25",0
"2023-09-26",0
"2023-09-27",0
"2023-09-28",0
"2023-09-29",0
"2023-09-30",0
"2023-10-01",0
"2023-10-02",0
"2023-10-03",0
"2023-10-04",0
"2023-10-05",0
"2023-10-06",0
"2023-10-07",0
"2023-10-08",0
"2023-10-09",0
"2023-10-10",0
"2023-10-11",0
"2023-10-12",0
"2023-10-13",0
"2023-10-14",0
"2023-10-15",0
"2023-10-16",0
"2023-10-17",0
"2023-10-18",0
"2023-10-19",0
"2023-10-20",0
"2023-10-21",0
"2023-10-22",0
"2023-10-23",0
"2023-10-24",0
"2023-10-25",0
"2023-10-26",0
"2023-10-27",0
"2023-10-28",0
"2023-10-29",0
"2023-10-30",0
"2023-10-31",0
"2023-11-01",0
"2023-11-02",4.8968
"2023-11-03",6.5291
"2023-11-04",0
"2023-11-05",0
"2023-11-06",0
"2023-11-07",0
"2023-11-08",0
"2023-11-09",0
"2023-11-10",0
"2023-11-11",0
"2023-11-12",0
"2023-11-13",0
"2023-11-14",0
"2023-11-15",5.0035
"2023-11-16",3.8511
"2023-11-17",0.9628
"2023-11-18",0
"2023-11-19",2.8883
"2023-11-20",0
"2023-11-21",0
"2023-11-22",0
"2023-11-23",0
"2023-11-24",2.382
"2023-11-25",0
"2023-11-26",0
"2023-11-27",0
"2023-11-28",2.0061
"2023-11-29",2.0061
"2023-11-30",0
"2023-12-01",0
"2023-12-02",0
"2023-12-03",0
"2023-12-04",0
"2023-12-05",0
"2023-12-06",0
"2023-12-07",0
"2023-12-08",0
"2023-12-09",0
"2023-12-10",0
"2023-12-11",0
"2023-12-12",0
"2023-12-13",0
"2023-12-14",0
"2023-12-15",0
"2023-12-16",0
"2023-12-17",0
"2023-12-18",1.9196
"2023-12-19",0
"2023-12-20",0
"2023-12-21",0
"2023-12-22",0
"2023-12-23",0
"2023-12-24",6.5613
"2023-12-25",0
"2023-12-26",3.6824
"2023-12-27",3.6824
"2023-12-28",11.0471
"2023-12-29",7.3647
"2023-12-30",3.6824
"2023-12-31",0
"2024-01-01",0
"2024-01-02",0
"2024-01-03",0
"2024-01-04",0
"2024-01-05",0
"2024-01-06",0
"2024-01-07",0
"2024-01-08",19.748
"2024-01-09",0
"2024-01-10",0
"2024-01-11",12.0956
"2024-01-12",0
"2024-01-13",0
"2024-01-14",0
"2024-01-15",0
"2024-01-16",0
"2024-01-17",0
"2024-01-18",0
"2024-01-19",0
"2024-01-20",0
"2024-01-21",0
"2024-01-22",0
"2024-01-23",0
"2024-01-24",0
"2024-01-25",0
"2024-01-26",9.4903
"2024-01-27",9.4903
"2024-01-28",9.4903
"2024-01-29",18.9807
"2024-01-30",0
"2024-01-31",18.9807
"2024-02-01",0
"2024-02-02",0
"2024-02-03",0
"2024-02-04",0
"2024-02-05",0
"2024-02-06",0
"2024-02-07",0
"2024-02-08",0
"2024-02-09",0
"2024-02-10",0
"2024-02-11",0
"2024-02-12",0
"2024-02-13",0
"2024-02-14",0
"2024-02-15",0
"2024-02-16",0
"2024-02-17",0
"2024-02-18",23.8665
"2024-02-19",0
"2024-02-20",0
"2024-02-21",0
"2024-02-22",0
"2024-02-23",0
"2024-02-24",0
"2024-02-25",0
"2024-02-26",0
"2024-02-27",0
"2024-02-28",0
"2024-02-29",0
"2024-03-01",0
"2024-03-02",0
"2024-03-03",0
"2024-03-04",0
"2024-03-05",0
"2024-03-06",0
"2024-03-07",0
"2024-03-08",0
"2024-03-09",0
"2024-03-10",0
"2024-03-11",0
"2024-03-12",0
"2024-03-13",0
"2024-03-14",0
"2024-03-15",0
"2024-03-16",0
"2024-03-17",0
"2024-03-18",0
"2024-03-19",0
"2024-03-20",0
"2024-03-21",8.7087
"2024-03-22",4.3544
"2024-03-23",0
"2024-03-24",8.7087
"2024-03-25",0
"2024-03-26",0
"2024-03-27",0
"2024-03-28",0
"2024-03-29",0
"2024-03-30",15.7761
"2024-03-31",7.888
"2024-04-01",0
"2024-04-02",0
"2024-04-03",6.2052
"2024-04-04",12.4103
"2024-04-05",0
"2024-04-06",0
"2024-04-07",0
"2024-04-08",0
"2024-04-09",0
"2024-04-10",0
"2024-04-11",0
"2024-04-12",0
"2024-04-13",0
"2024-04-14",3.8475
"2024-04-15",1.2009
"2024-04-16",0
"2024-04-17",0
"2024-04-18",0
"2024-04-19",0
"2024-04-20",0
"2024-04-21",0
"2024-04-22",0
"2024-04-23",0
"2024-04-24",0
"2024-04-25",0
"2024-04-26",0
"2024-04-27",0
"2024-04-28",0
"2024-04-29",0
"2024-04-30",0
