AOI,Plot_ID,Species,Grazing value,total_AGB (g),AGB (g/m2),Mean_Canopy_Height(m),NDVI,EVI,OSAVI,TDVI,GDVI,PredictedCHM,PredictedNDVI
1,S1P01,S.uniplumis,Average,135.56,396.374269,0.028510537,0.170108318,23.090662,0.170107782,0.405651659,7041.539063,126.39632953857154,136.94532622624703
1,S1P02,S.uniplumis,Average,143.47,419.502924,0.076653913,0.158000991,0.392541021,0.158000529,0.39187631,6166.419922,241.2095309402208,136.9471316763465
1,S1P03,S.uniplumis,Average,196.08,573.3333333,0.227522999,0.236526817,-12.28619862,0.236526012,0.561833203,8078.633789,601.0048796544601,136.9354218695195
1,S1P04,S.uniplumis,Average,200.04,584.9122807,0.011802096,0.120746292,1.682397008,0.120745957,0.293607444,5777.160645,86.54973461675772,136.9526871139765
1,S1P05,S.uniplumis,Average,53.92,157.6608187,0.015348673,0.088041537,-1.83968854,0.088041276,0.195293814,3153.64917,95.00767614930535,136.9575640618914
1,S1P06,S.uniplumis,Average,61.61,180.1461988,0.023312557,0.153376803,-0.335988402,0.153376371,0.366645515,8175.794434,114.00009200380156,136.9478212373606
1,S1P07,S.uniplumis,Average,41.32,120.8187135,0.032123733,0.102254383,-0.323000252,0.102254093,0.260022014,4758.279297,135.0131452777011,136.95544463584267
1,S1P08,S.kalihariensis,Low,4.72,13.80116959,0.014475203,0.076238744,-0.099403828,0.076238587,0.186920151,3612.335938,92.92460895791648,136.95932409974247
1,S1P09,S.uniplumis,Average,14.37,42.01754386,0.017575976,0.050126877,-0.258733749,0.050126765,0.114543863,2523.314209,100.31938897811689,136.96321791320534
1,S1P10,S.kalihariensis,Low,8.43,24.64912281,0.006226124,0.166906729,Inf,0.166906312,0.401154041,8066.233398,73.25205486438728,136.94580364865237
1,S1P11,S.kalihariensis,Low,13.03,38.0994152,0.022262262,0.092189714,0.320600241,0.092189498,0.235414356,4084.532227,111.49532932645742,136.9569454838537
1,S1P12,S.kalihariensis,Low,23.85,69.73684211,0.016518086,0.142415315,-1.497083902,0.142414972,0.341150731,5600.679199,97.7965136062113,136.94945581942815
1,S1P13,S.kalihariensis,Low,24.24,70.87719298,0.030143375,0.057538383,-0.323389113,0.057538215,0.12539579,474.6618347,130.29035139009824,136.9621127060655
1,S1P14,S.kalihariensis,Low,14.35,41.95906433,0.01170921,0.149997994,0.308560699,0.149997622,0.359397084,6804.765625,86.32821838936657,136.94832508689282
